timestamp,city,temperature,description
2025-12-16T20:16:55.120Z,Portsmouth,6.9,broken clouds
2025-12-16T22:14:04.904Z,Portsmouth,5.5,scattered clouds
2025-12-17T01:02:59.291Z,Portsmouth,4.55,scattered clouds
2025-12-17T03:14:56.670Z,Portsmouth,1.77,few clouds
2025-12-17T04:27:13.185Z,Portsmouth,3.28,few clouds
2025-12-17T06:22:54.513Z,Portsmouth,-0.97,few clouds
2025-12-17T08:21:20.023Z,Portsmouth,5.54,broken clouds
2025-12-17T10:17:28.937Z,Portsmouth,7.76,overcast clouds
2025-12-17T12:30:03.047Z,Portsmouth,9.86,light rain
2025-12-17T14:15:49.490Z,Portsmouth,10.49,overcast clouds
2025-12-17T16:19:19.205Z,Portsmouth,10.41,overcast clouds
2025-12-17T18:22:31.012Z,Portsmouth,10.47,overcast clouds
2025-12-17T20:16:30.711Z,Portsmouth,10.55,overcast clouds
2025-12-17T22:13:59.404Z,Portsmouth,11.02,overcast clouds
2025-12-18T01:04:03.261Z,Portsmouth,10.61,light rain
2025-12-18T03:15:46.994Z,Portsmouth,11.03,light rain
2025-12-18T04:28:27.876Z,Portsmouth,11.13,overcast clouds
2025-12-18T06:23:01.054Z,Portsmouth,11.11,overcast clouds
2025-12-18T08:20:43.276Z,Portsmouth,11.03,overcast clouds
2025-12-18T10:15:55.094Z,Portsmouth,11.11,light rain
2025-12-18T12:29:05.017Z,Portsmouth,11.4,moderate rain
2025-12-18T14:16:33.072Z,Portsmouth,11.26,moderate rain
